x_i,y_i,z_i,Time to Land (s),Landing Result (Success/Fail),x_final,y_final,z_final,final_roll,final_pitch,final_yaw
-69.11825930382406,96.36363560304487,76.93864842031005,0.09498715400695801,Fail,,,,,,
-52.31884045109475,69.26649914705068,66.89178695427452,0.10022568702697754,Fail,,,,,,
-60.35110369207362,61.045259373265466,117.40983040018057,0.09961271286010742,Fail,,,,,,
-103.4345870312302,99.07318218144584,121.81115979971365,0.10017681121826172,Fail,,,,,,
-52.98002730086198,50.56838716123168,144.65004419860452,0.10103893280029297,Fail,,,,,,
-49.29847616439298,48.11166151521125,114.22707253714617,0.10024142265319824,Fail,,,,,,
-76.23274043974408,39.71902256135279,152.91525506307693,0.1002359390258789,Fail,,,,,,
-61.86599417113144,99.23460700777107,153.64973373667488,0.10052013397216797,Fail,,,,,,
-70.64433206137124,81.50641910982225,137.39836951990503,0.10107731819152832,Fail,,,,,,
-87.29887891409743,105.51223766206999,88.4191584429019,0.09994673728942871,Fail,,,,,,
