x_i,y_i,z_i,Time to Land (s),Landing Result (Success/Fail),x_final,y_final,z_final,final_roll,final_pitch,final_yaw
-66.30435541558471,57.01175694064545,147.293573071406,33.32758569717407,Fail,-66.56770033536891,57.322892501217645,145.89452534221968,,,
-62.81733102043589,35.196117891711495,93.2057342486084,37.798781633377075,Fail,-62.883432471873206,35.39294016703022,92.18134646119665,,,
-57.53128005905321,74.16826112069211,113.9318396024479,21.162766456604004,Fail,-57.57397469330177,74.13250214605984,113.47276973391172,,,
-64.80033560181579,66.70585580758606,57.39631478407566,58.95736360549927,Success,-82.3601112763676,73.39190003110048,32.68354673918294,-3.137321645631449,0.0011870361439024557,0.005198430490745404
-75.76279938249507,80.941503196675,110.57277180363118,37.26071763038635,Fail,-75.96195901410823,79.91304979408349,108.12015835207792,,,
