Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_327,30.598168,0.333333,25,yolo404.pt,Train279,1.0,0.047619047619047616,yolo404.pt,'True',EI,'True'
run_328,0.927146,0.733333,25,yolo405.pt,Train280,0.9523809523809523,0.0,yolo405.pt,'True',EI,'True'
run_329,22.109695,0.000000,25,yolo406.pt,Train281,0.0,0.0,yolo406.pt,'True',EI,'True'
run_330,1.626206,0.866667,25,yolo407.pt,Train282,0.3333333333333333,0.0,yolo407.pt,'True',EI,'True'
run_331,7.185541,0.000000,25,yolo408.pt,Train283,0.7619047619047619,1.0,yolo408.pt,'True',EI,'True'
run_332,0.931219,1.000000,25,yolo409.pt,Train284,0.0,0.3333333333333333,yolo409.pt,'True',EI,'True'
run_333,0.946436,1.000000,25,yolo410.pt,Train285,1.0,0.6190476190476191,yolo410.pt,'True',EI,'True'
run_334,48.247740,0.000000,25,yolo410.pt,Train285,1.0,0.6190476190476191,vanilla.pt,'True',EI,'True'
run_335,16.504509,0.933333,25,yolo410.pt,Train285,1.0,0.6190476190476191,yolo371.pt,'True',EI,'True'
run_336,1.020477,1.000000,25,yolo410.pt,Train285,1.0,0.6190476190476191,yolo400.pt,'True',EI,'True'
run_337,43.989115,0.666667,25,yolo410.pt,Train285,1.0,0.6190476190476191,yolo400.pt,'True',EI,'True'
