Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Scale,HSV_V, Test_model,opt_success,acq_fn
run_138,36.238648,0.100000,37,yolo227.pt,1.0,0.19047619047619047,yolo227.pt,'True'
run_139,21.417497,0.300000,37,yolo228.pt,0.2857142857142857,1.0,yolo228.pt,'True'
run_140,22.156340,0.500000,37,yolo229.pt,1.0,0.42857142857142855,yolo229.pt,'True'
run_141,18.506033,0.300000,37,yolo230.pt,0.7142857142857142,0.6190476190476191,yolo230.pt,'True'
run_142,1.389758,0.300000,39,yolo232.pt,0.1,0.5,yolo232.pt,N/A
run_143,24.352107,0.700000,40,yolo233.pt,0.1,0.5,yolo233.pt,N/A
run_144,12.823234,0.000000,40,yolo234.pt,0.1,0.1,yolo234.pt,'True'
run_145,1.807527,1.000000,40,yolo235.pt,0.5,0.9,yolo235.pt,'True'
run_146,9.548426,0.700000,40,yolo236.pt,0.9,0.1,yolo236.pt,'True'
run_147,2.288719,0.800000,40,yolo237.pt,0.5,0.5,yolo237.pt,'True'
run_148,10.980549,0.600000,40,yolo238.pt,0.38095238095238093,0.8095238095238095,yolo238.pt,'True'
run_149,18.036924,0.500000,40,yolo239.pt,0.6666666666666666,0.9523809523809523,yolo239.pt,'True'
run_150,2.545795,0.100000,40,yolo240.pt,0.42857142857142855,1.0,yolo240.pt,'True'
run_151,17.456330,0.300000,40,yolo241.pt,0.6190476190476191,0.7142857142857142,yolo241.pt,'True'
run_152,11.782893,0.800000,40,yolo242.pt,0.5714285714285714,0.23809523809523808,yolo242.pt,'True'
run_153,1.598207,0.800000,40,yolo243.pt,1.0,0.2857142857142857,yolo243.pt,'True'
run_154,26.177029,0.700000,40,yolo244.pt,1.0,0.3333333333333333,yolo244.pt,'True'
run_155,20.533507,0.200000,40,yolo245.pt,1.0,0.0,yolo245.pt,'True'
run_156,4.905390,0.600000,40,yolo246.pt,1.0,0.5714285714285714,yolo246.pt,'True'
run_157,2.890452,0.700000,40,yolo247.pt,0.7142857142857142,0.42857142857142855,yolo247.pt,'True'
run_158,20.870899,0.000000,40,yolo248.pt,0.6666666666666666,0.42857142857142855,yolo248.pt,'True'
run_159,6.373048,0.300000,40,yolo249.pt,0.0,0.9047619047619047,yolo249.pt,'True'
run_160,13.898810,0.700000,40,yolo250.pt,1.0,0.6190476190476191,yolo250.pt,'True'
