Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_393,12.694138,0.200000,30,yolo463.pt,Train339,0.09523809523809523,0.5238095238095237,yolo463.pt,'True',EI,'True'
run_394,41.645010,0.300000,30,yolo464.pt,Train340,0.0,0.6190476190476191,yolo464.pt,'True',EI,'True'
run_395,2.151921,0.900000,30,yolo465.pt,Train341,0.5714285714285714,0.47619047619047616,yolo465.pt,'True',EI,'True'
run_396,4.088964,0.800000,30,yolo466.pt,Train342,0.6190476190476191,0.42857142857142855,yolo466.pt,'True',EI,'True'
run_397,30.860004,0.000000,30,yolo467.pt,Train343,0.09523809523809523,1.0,yolo467.pt,'True',EI,'True'
run_398,0.085651,1.000000,30,yolo468.pt,Train344,0.5714285714285714,0.42857142857142855,yolo468.pt,'True',EI,'True'
run_399,0.081615,1.000000,30,yolo469.pt,Train345,0.5714285714285714,0.5238095238095237,yolo469.pt,'True',EI,'True'
run_400,1.688571,0.900000,30,yolo470.pt,Train346,0.5238095238095237,0.0,yolo470.pt,'True',EI,'True'
run_401,13.234587,0.000000,30,yolo471.pt,Train347,0.5714285714285714,0.0,yolo471.pt,'True',EI,'True'
run_402,0.079848,1.000000,30,yolo472.pt,Train348,0.38095238095238093,0.0,yolo472.pt,'True',EI,'True'
run_403,22.304840,0.000000,31,yolo473.pt,Train349,0.1,0.5,yolo473.pt,N/A,N/A,'True'
run_404,33.771067,0.000000,31,yolo474.pt,Train350,0.1,0.1,yolo474.pt,'True',UCB,'True'
run_405,4.475991,0.000000,31,yolo475.pt,Train351,0.5,0.9,yolo475.pt,'True',UCB,'True'
run_406,24.145007,0.000000,31,yolo476.pt,Train352,0.9,0.1,yolo476.pt,'True',UCB,'True'
run_407,34.380386,0.000000,31,yolo477.pt,Train353,0.5,0.5,yolo477.pt,'True',UCB,'True'
run_408,3.187484,0.000000,31,yolo478.pt,Train354,1.0,1.0,yolo478.pt,'True',UCB,'True'
run_409,54.236996,0.000000,31,yolo479.pt,Train355,0.0,1.0,yolo479.pt,'True',UCB,'True'
run_410,48.170109,0.000000,31,yolo480.pt,Train356,1.0,0.5238095238095237,yolo480.pt,'True',UCB,'True'
run_411,24.767685,0.000000,31,yolo481.pt,Train357,0.5238095238095237,0.0,yolo481.pt,'True',UCB,'True'
run_412,6.011443,0.900000,31,yolo482.pt,Train358,0.0,0.7142857142857142,yolo482.pt,'True',UCB,'True'
run_413,41.448979,0.000000,31,yolo483.pt,Train359,0.0,0.7619047619047619,yolo483.pt,'True',UCB,'True'
run_414,31.964773,0.000000,31,yolo484.pt,Train360,0.0,0.6190476190476191,yolo484.pt,'True',UCB,'True'
run_415,3.308710,0.000000,31,yolo485.pt,Train361,0.19047619047619047,0.7619047619047619,yolo485.pt,'True',UCB,'True'
run_416,32.988423,0.000000,31,yolo486.pt,Train362,0.7142857142857142,1.0,yolo486.pt,'True',UCB,'True'
run_417,31.215434,0.000000,31,yolo487.pt,Train363,0.0,0.0,yolo487.pt,'True',UCB,'True'
run_418,46.983563,0.000000,31,yolo488.pt,Train364,1.0,0.0,yolo488.pt,'True',UCB,'True'
run_419,39.881975,0.000000,31,yolo489.pt,Train365,0.7142857142857142,0.3333333333333333,yolo489.pt,'True',UCB,'True'
run_420,0.724557,0.000000,31,yolo490.pt,Train366,0.7619047619047619,0.7142857142857142,yolo490.pt,'True',UCB,'True'
run_421,40.519802,0.000000,31,yolo491.pt,Train367,0.3333333333333333,0.23809523809523808,yolo491.pt,'True',UCB,'True'
run_422,29.791292,0.000000,31,yolo492.pt,Train368,0.047619047619047616,0.0,yolo492.pt,'True',UCB,'True'
run_423,24.272678,0.000000,31,yolo493.pt,Train369,0.09523809523809523,0.0,yolo493.pt,'True',UCB,'True'
run_424,30.240093,0.000000,31,yolo494.pt,Train370,0.14285714285714285,0.0,yolo494.pt,'True',UCB,'True'
run_425,27.509673,0.000000,31,yolo495.pt,Train371,0.19047619047619047,0.0,yolo495.pt,'True',UCB,'True'
run_426,26.072450,0.000000,31,yolo496.pt,Train372,0.23809523809523808,0.0,yolo496.pt,'True',UCB,'True'
run_427,33.936057,0.000000,31,yolo497.pt,Train373,0.2857142857142857,0.0,yolo497.pt,'True',UCB,'True'
run_428,32.594177,0.000000,31,yolo498.pt,Train374,0.3333333333333333,0.0,yolo498.pt,'True',UCB,'True'
run_429,48.237633,0.000000,31,yolo499.pt,Train375,0.38095238095238093,0.0,yolo499.pt,'True',UCB,'True'
run_430,28.795873,0.000000,31,yolo500.pt,Train376,0.42857142857142855,0.0,yolo500.pt,'True',UCB,'True'
run_431,21.115091,0.000000,31,yolo501.pt,Train377,0.47619047619047616,0.0,yolo501.pt,'True',UCB,'True'
run_432,33.314103,0.000000,31,yolo502.pt,Train378,0.5714285714285714,0.0,yolo502.pt,'True',UCB,'True'
run_433,6.424441,0.000000,32,yolo503.pt,Train379,1.0,1.0,yolo503.pt,N/A,N/A,'True'
run_434,2.390205,0.500000,32,yolo504.pt,Train380,0.0,1.0,yolo504.pt,'True',EI,'True'
run_435,1.664229,0.000000,32,yolo505.pt,Train381,1.0,0.5238095238095237,yolo505.pt,'True',EI,'True'
run_436,35.304997,0.000000,32,yolo506.pt,Train382,0.5238095238095237,0.0,yolo506.pt,'True',EI,'True'
run_437,27.620364,0.000000,32,yolo507.pt,Train383,0.0,0.8571428571428571,yolo507.pt,'True',EI,'True'
