Run Number,Scale,HSV_V,Median_Z,Mode_Z
run_275,0.1,0.5,42.13328446371777,42
run_276,0.1,0.1,88.27416536387791,61
run_277,0.5,0.9,71.46140811599365,37
run_278,1.0,0.5238095238095237,50.79866049639365,51
run_279,0.1,0.5,43.15346639984839,43
run_280,0.1,0.1,45.37618003396796,46
run_281,0.5,0.9,83.07095828793763,83
run_282,0.9,0.1,39.24305222799556,39
run_283,0.5,0.5,36.95585514861865,37
run_284,0.6666666666666666,0.4761904761904761,37.3128857568111,37
run_285,0.4285714285714285,0.3809523809523809,41.83805611491629,42
run_286,0.4761904761904761,0.6190476190476191,36.95714255606492,37
run_287,0.4285714285714285,0.6190476190476191,40.78235408637919,40
run_288,0.6190476190476191,0.6666666666666666,43.108211174152245,43
run_289,0.0,1.0,73.94041939533814,74
run_290,1.0,1.0,60.31618873103019,63
run_291,0.5238095238095237,0.5238095238095237,40.56843383606775,41
run_292,1.0,0.4761904761904761,36.933373779422006,37
run_293,1.0,0.4285714285714285,36.98040533401597,37
run_294,1.0,0.6190476190476191,36.96509359670028,37
run_295,1.0,0.5714285714285714,36.93708473077935,37
run_296,1.0,0.6666666666666666,38.99381184149843,38
run_297,1.0,0.5238095238095237,38.00974125058673,38
run_298,0.5238095238095237,0.0,41.44420642864221,41
run_299,1.0,0.3333333333333333,38.80840283939034,39
run_300,0.9523809523809524,0.5238095238095237,36.93997840153512,37
run_301,0.9047619047619048,0.5238095238095237,39.59489181991763,40
run_302,1.0,0.0,39.37268027975104,39
run_303,0.9523809523809524,0.4761904761904761,38.63355158326021,39
run_304,0.5238095238095237,0.5714285714285714,36.9343890849623,35
run_305,0.0,0.0,40.54494349664868,41
run_306,0.4761904761904761,0.5714285714285714,36.99017190833642,37
run_307,0.4761904761904761,0.5238095238095237,40.424435773048,40
run_308,0.6666666666666666,0.238095238095238,36.98105152623387,37
run_309,0.5714285714285714,0.4285714285714285,36.94225960663543,37
run_310,0.5714285714285714,0.4761904761904761,59.79517734562042,59
run_311,0.4285714285714285,0.3809523809523809,81.94473793486264,82
run_312,0.4285714285714285,0.6190476190476191,38.4192576406972,38
run_313,1.0,1.0,36.93587385647171,37
run_314,1.0,0.9523809523809524,36.96783577302257,37
run_315,1.0,0.9047619047619048,63.87319143643787,37
run_316,0.9523809523809524,1.0,36.987900184735935,37
run_317,0.0,1.0,36.98123845922809,37
run_318,0.0,0.8571428571428571,36.96437031488801,37
run_319,0.0,0.9047619047619048,36.970789617076925,37
run_320,0.0,0.8095238095238095,49.2343890737693,49
run_321,0.0476190476190476,1.0,38.51472300731537,39
run_322,0.5714285714285714,0.0,41.632141638267626,42
run_323,1.0,0.4285714285714285,37.89994310516738,37
run_324,0.7142857142857142,0.2857142857142857,52.77745889642223,53
run_325,0.0,0.9523809523809524,36.97885105392593,37
run_326,1.0,0.0,36.95674226644558,37
run_327,1.0,0.0476190476190476,36.98362069278527,35
run_328,0.9523809523809524,0.0,41.73683154451388,42
run_329,0.0,0.0,48.44347132632544,48
run_330,0.3333333333333333,0.0,40.6354355336598,41
run_331,0.7619047619047619,1.0,59.57621193977924,57
run_332,0.0,0.3333333333333333,36.9994950526415,37
run_333,1.0,0.6190476190476191,39.51156992115138,40
