x_i,y_i,z_i,Time to Land (s),Landing Result (Success/Fail),x_final,y_final,z_final,final_roll,final_pitch,final_yaw
-65.81847697561659,39.92382567808639,145.73995363327722,56.62299990653992,Fail,-63.62683921038423,37.93627966912843,142.29370525821633,,,
-85.25023308870472,107.54965990759656,135.08513531409255,75.25355648994446,Fail,-82.28893928154807,103.7735605349277,130.86495073304104,,,
-100.80717672164599,42.28595218860042,76.01916458644475,58.086310625076294,Success,-81.30213225962302,71.31979172858348,32.65121160465607,3.138979278666357,-0.0030655882479104714,0.028453928804327726
-40.13417463332155,110.88592328803244,114.84964620854734,34.461092710494995,Fail,-40.110714979931046,110.88592555162178,113.79302549454854,,,
-90.40501887490805,103.7575976126399,100.95169021817195,83.45311498641968,Success,-80.16663214389813,74.08736788963486,32.64870642044565,3.139695184398583,-0.010699243079575356,-0.053095942534378576
-108.997533552377,104.87672330731517,85.6397102613452,69.22110867500305,Success,-81.87562699353248,73.32411796527988,32.65401078785802,-3.139094182791085,-0.001050237531324893,-0.03721465121209104
-102.66681010771978,59.6940481864329,132.06579807850824,151.2570948600769,Fail,-80.74468389706627,70.75580411268537,35.290957562907174,,,
-41.66963467229917,35.08015733607846,114.88495000551396,55.811134815216064,Fail,-44.91805561897885,38.09861982125672,109.93856959914851,,,
-116.29072531549262,53.164189061834065,140.49090679428275,93.3501832485199,Fail,-111.45605361231672,50.21447587681702,135.1516872177098,,,
-116.61715754563669,99.50607744916776,81.78436568679332,65.93785047531128,Success,-81.68792866253986,72.3711224028268,32.6861241231634,3.1414847883076162,-0.019579209009989235,0.010512087712917102
